"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C7","0805_CAP","869.567mil","1354.449mil","869.567mil","1354.449mil","834.134mil","1354.449mil","B","360.00","CAP"
"C6","0805_CAP","1850mil","1649.449mil","1850mil","1649.449mil","1850mil","1684.882mil","B","270.00","CAP"
"C5","0805_CAP","1650mil","1644.449mil","1650mil","1644.449mil","1650mil","1679.882mil","B","270.00","CAP"
"C4","0805_CAP","869.567mil","1634.449mil","869.567mil","1634.449mil","834.134mil","1634.449mil","B","360.00","CAP"
"C3","0805_CAP","869.567mil","1559.449mil","869.567mil","1559.449mil","834.134mil","1559.449mil","B","360.00","CAP"
"C2","ELECTROLIT_CAP_J10","1020mil","1079.449mil","1020mil","1079.449mil","844.803mil","1079.449mil","T","360.00","1000uF_6V3"
"C1","ELECTROLIT_CAP_F80","1015mil","719.449mil","1015mil","719.449mil","914.606mil","719.449mil","T","0.00","100uF_25V"
"J9","Euroblock_3.5pitch_5P","3145.59mil","2279.449mil","2870mil","2279.449mil","2870mil","2279.449mil","T","360.00","Infra OUT"
"R23","1206_4xRES_ARRAY","3204.252mil","2137.835mil","3251.496mil","2176.22mil","3251.496mil","2176.22mil","T","180.00","4x Res Array"
"U4","TSOP17xx","4220mil","584.449mil","4220mil","584.449mil","4220mil","434.449mil","T","90.00","TSOP1736"
"R2","0805_RES","3370mil","1769.882mil","3370mil","1769.882mil","3370mil","1734.449mil","B","90.00","RES"
"R5","0805_RES","3370mil","1919.449mil","3370mil","1919.449mil","3370mil","1954.882mil","B","270.00","RES"
"D3","Osram_sideled","4270mil","1769.449mil","4270mil","1769.449mil","4270mil","1819.449mil","T","90.00","LED_RED"
"R24","0805_RES","4250mil","1309.882mil","4250mil","1309.882mil","4250mil","1345.315mil","B","270.00","RES"
"SW1","BUTTON_6X6_90deg","200mil","1994.449mil","200mil","1994.449mil","151mil","1905.949mil","T","270.00","SW_tactile_2pin"
"U10","DIGITAL_SOIC8","655mil","1984.449mil","655mil","1984.449mil","753.425mil","1909.449mil","T","180.00","MB85RC16PNF"
"C38","FP_0805_CAP_125","375mil","1894.449mil","375mil","1894.449mil","375mil","1855.079mil","T","90.00","100nF"
"R25","FP_0805_RES","575mil","1954.449mil","575mil","1954.449mil","575mil","1915.079mil","B","90.00","10k"

