"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C20","FP_0603_CAP_080","1358.268mil","2421.26mil","1358.268mil","2421.26mil","1393.701mil","2421.26mil","T","180.00","100nF"
"C21","FP_0603_CAP_080","393.701mil","1909.449mil","393.701mil","1909.449mil","358.268mil","1909.449mil","T","0.00","100nF"
"C29","FP_0603_CAP_080","1889.764mil","2539.37mil","1889.764mil","2539.37mil","1854.331mil","2539.37mil","T","360.00","100nF"
"C30","FP_1206_CAP_085","2007.874mil","2716.535mil","2007.874mil","2716.535mil","2007.874mil","2649.606mil","T","90.00","10uF"
"C31","FP_0603_CAP_080","1751.968mil","2539.37mil","1751.968mil","2539.37mil","1787.402mil","2539.37mil","T","180.00","100nF"
"C32","FP_1206_CAP_085","1614.173mil","2716.535mil","1614.173mil","2716.535mil","1614.173mil","2649.606mil","T","90.00","10uF"
"R9","FP_0603_RES","1299.213mil","2303.149mil","1299.213mil","2303.15mil","1299.213mil","2338.583mil","T","270.00","1k"
"R25","FP_0603_RES","1299.213mil","2165.354mil","1299.213mil","2165.354mil","1299.213mil","2129.921mil","T","90.00","3k9"
"U7","SUPPLY_SOT223","1811.024mil","2755.905mil","1811.024mil","2755.905mil","1720.473mil","2638.779mil","T","90.00","LD1117xx"
"L1","SRR1206_T","787.402mil","1929.134mil","787.402mil","1929.134mil","590.551mil","1929.134mil","T","360.00","100uH"
"U6","SUPPLY_TO-263_5","767.717mil","2500mil","767.716mil","2500mil","633.859mil","2297.244mil","T","0.00","TS2576CM5-ADJ"
"C13","FP_0603_CAP_080","2590mil","1910mil","2590mil","1910mil","2625.433mil","1910mil","T","180.00","22p"
"C14","FP_0603_CAP_080","2730mil","1910mil","2730mil","1910mil","2765.433mil","1910mil","T","180.00","22p"
"R20","FP_0603_RES","2860mil","1910mil","2860mil","1910mil","2824.567mil","1910mil","T","360.00","390R"
"Y1","FP_CRYSTAL_HC49_SMD","2722.677mil","1770mil","2890mil","1770mil","2890mil","1770mil","T","180.00","8MHz Quartz HC49"

